nSamples,rho,xi,sigma,confignum
10,0.0,0.0,0.008,1
10,0.0,0.5,0.008,2
10,0.0002,0.0,0.008,3
100,0.0,0.0,0.008,4
100,0.0,0.5,0.008,5
100,0.0002,0.0,0.008,6
1000,0.0,0.0,0.008,7
1000,0.0,0.5,0.008,8
1000,0.0002,0.0,0.008,9
10000,0.0,0.0,0.008,10
10000,0.0,0.5,0.008,11
10000,0.0002,0.0,0.008,12
100000,0.0,0.0,0.008,13
100000,0.0,0.5,0.008,14
100000,0.0002,0.0,0.008,15
10,0.0,0.0,0.016,16
10,0.0,0.5,0.016,17
10,0.0002,0.0,0.016,18
100,0.0,0.0,0.016,19
100,0.0,0.5,0.016,20
100,0.0002,0.0,0.016,21
1000,0.0,0.0,0.016,22
1000,0.0,0.5,0.016,23
1000,0.0002,0.0,0.016,24
10000,0.0,0.0,0.016,25
10000,0.0,0.5,0.016,26
10000,0.0002,0.0,0.016,27
100000,0.0,0.0,0.016,28
100000,0.0,0.5,0.016,29
100000,0.0002,0.0,0.016,30
