param,m,l,u,rhat,ess,model,params,runtime,iter,confignum
sigma,0.02028138312388846,0.016437957699558768,0.02560263055865051,1.0338837884533447,162.15488196966095,binomial,estimated,138.9925639629364,1,28
sigma,0.01896753897943143,0.014707295298138096,0.024485959969025077,1.050856608434623,97.54679449105276,betabinom,estimated,290.64616894721985,1,28
rho,3.5282986832163836e-6,3.6753572849815647e-7,1.0021219573145422e-5,1.0231297733835059,151.92900316060081,betabinom,estimated,290.64616894721985,1,28
sigma,0.01978291073449843,0.01501672864957911,0.025219455700243348,1.023286143242672,209.92288810833242,weighted,estimated,118.80748796463013,1,28
c,1.2474159158073874,0.7376412894177256,2.0442972268747095,1.0319301379026846,119.31201529379544,weighted,estimated,118.80748796463013,1,28
sigma,0.018489139428720935,0.01317631512272104,0.025982555431696853,1.0294078896678893,102.32328760415588,binomial,estimated,105.524827003479,2,28
sigma,0.01784631731122719,0.01117608176984178,0.025850697429811442,1.0443353626695726,103.97790532662894,betabinom,estimated,217.35189604759216,2,28
rho,1.8216675045506749e-6,8.304469215080512e-8,4.96339289998003e-6,1.022772296344753,100.61872196910439,betabinom,estimated,217.35189604759216,2,28
sigma,0.01936856539907436,0.012722441332368419,0.02788126531479796,1.0193845878194123,156.55687988867123,weighted,estimated,117.89774990081787,2,28
c,0.9948372356161346,0.6617831396596671,1.5404723052310165,1.021140145195407,102.80488402474563,weighted,estimated,117.89774990081787,2,28
sigma,0.01672665452399037,0.012433076979834631,0.02212815479096456,1.0326125889937792,125.63120666363999,binomial,estimated,120.13521313667297,3,28
sigma,0.01615748370992515,0.011601503702396845,0.021026678389494985,1.072437196931084,66.07908406540538,betabinom,estimated,286.0181608200073,3,28
rho,2.840126401599524e-6,1.5091040338345208e-7,9.005972584173682e-6,1.01519799942957,86.32829418597977,betabinom,estimated,286.0181608200073,3,28
sigma,0.016599243255591506,0.01205882359373345,0.022227405407397205,1.0071786559250628,128.41191656454666,weighted,estimated,103.11392211914062,3,28
c,1.1265245957514682,0.7572743605610583,1.6890173420676893,1.0024319169018883,138.3891033197314,weighted,estimated,103.11392211914062,3,28
sigma,0.0156690975094076,0.011327539720939995,0.02160706343251199,1.0109700435005335,123.79488710146288,binomial,estimated,105.2154610157013,4,28
sigma,0.014267011043507923,0.01006101091722379,0.019431889768684558,1.00877798516953,106.00055182636352,betabinom,estimated,242.79865503311157,4,28
rho,6.083045180465889e-6,5.463019165566395e-7,1.4351936437172277e-5,1.018863785040432,105.00056394345562,betabinom,estimated,242.79865503311157,4,28
sigma,0.014135591570711068,0.010396385598582155,0.020027571767017808,1.0087186724097037,154.99647882445785,weighted,estimated,123.16204404830933,4,28
c,1.5983823442219762,1.088789318514254,2.2736636813024815,1.0134602539773463,138.5666717755811,weighted,estimated,123.16204404830933,4,28
sigma,0.01713215023595903,0.013130797204017776,0.023544261684671157,1.0110285619645794,117.37418666621122,binomial,estimated,104.02310991287231,5,28
sigma,0.01742289516326465,0.013704969417432445,0.022628943063374148,1.0063045182480983,109.71639385519443,betabinom,estimated,317.34374809265137,5,28
rho,1.4230304838162392e-6,2.8744576052536538e-8,5.388831235111317e-6,1.0369360735659943,106.96054544996208,betabinom,estimated,317.34374809265137,5,28
sigma,0.017839929602743842,0.014397417687523416,0.022961321112674,1.0478803213489507,123.12751351105284,weighted,estimated,105.82564902305603,5,28
c,0.7650186858173672,0.5048251086261449,1.192912025598162,1.047311862256748,101.54479125022084,weighted,estimated,105.82564902305603,5,28
sigma,0.01328040717907054,0.009769055708195905,0.018911681104164146,1.0240954110684246,106.00091549323103,binomial,estimated,118.70286297798157,6,28
sigma,0.012782233629829904,0.008881490478259776,0.01684404333841048,1.1385945050777662,49.53921645711072,betabinom,estimated,353.9810631275177,6,28
rho,1.8621892016714664e-6,1.7545693717576084e-7,5.125935624308712e-6,1.2571492000794802,32.45331683172224,betabinom,estimated,353.9810631275177,6,28
sigma,0.013465206241700585,0.009198773192938204,0.01828549270534454,1.027797031255009,127.66654303542322,weighted,estimated,113.58938384056091,6,28
c,0.9754137182379748,0.6084922900019174,1.4822095927398684,1.0218203047773355,138.7628971608151,weighted,estimated,113.58938384056091,6,28
sigma,0.018268603836072428,0.01359119097679333,0.025057414231343784,1.0279677434334127,106.58569217751456,binomial,estimated,136.60676288604736,7,28
sigma,0.018785373345111323,0.01363544685948706,0.025477947889037806,1.043777057619151,108.00198853747693,betabinom,estimated,320.14784502983093,7,28
rho,2.606981676686442e-6,1.9724000324621252e-7,7.2434661390474375e-6,1.015223215994519,124.28861583380751,betabinom,estimated,320.14784502983093,7,28
sigma,0.01843194096500753,0.012924052272746508,0.025471751547042832,1.0265243791808392,105.18854793061885,weighted,estimated,147.90072298049927,7,28
c,1.1169213174049342,0.7692745689020276,1.5997961235291425,1.019947086956653,142.11742815789088,weighted,estimated,147.90072298049927,7,28
sigma,0.012094395888742405,0.008738870477338274,0.016581793626192366,1.0105635929389916,121.16876792457316,binomial,estimated,124.57707095146179,8,28
sigma,0.012365850704725012,0.00880588046055584,0.016637120917155336,1.041895310455268,109.57870724387654,betabinom,estimated,296.77601194381714,8,28
rho,1.9109485967568645e-6,1.0338078821061254e-7,5.981634642072257e-6,1.0153300838621955,102.74576803358575,betabinom,estimated,296.77601194381714,8,28
sigma,0.012157783774340312,0.00883555353964224,0.01638862464602563,1.0173014697929195,113.9109075056874,weighted,estimated,117.09023690223694,8,28
c,1.0341555060410461,0.7281707194534258,1.5152521934755117,1.020218923326921,127.63250975724861,weighted,estimated,117.09023690223694,8,28
sigma,0.016183964051088427,0.012326450261659405,0.021511497561184548,1.0040060732555531,128.0589018125927,binomial,estimated,113.55439496040344,9,28
sigma,0.016456564529310304,0.011738098508165526,0.02180375756787745,1.0042669682774703,89.50580669899858,betabinom,estimated,370.5627689361572,9,28
rho,2.056766535972487e-6,4.378796646855669e-8,6.7133202180940164e-6,1.047255289279481,77.5826522995779,betabinom,estimated,370.5627689361572,9,28
sigma,0.016274528994060785,0.01218876747322877,0.021571866942274615,1.04101244682534,162.58304649783125,weighted,estimated,154.83569622039795,9,28
c,1.0427916469691256,0.707276774547175,1.5089990808291756,1.0073519987543817,155.53613881519664,weighted,estimated,154.83569622039795,9,28
sigma,0.018686118004121115,0.014660018970658151,0.02478703328144841,1.0377780636655598,111.58427674926314,binomial,estimated,134.90764999389648,10,28
sigma,0.0181969008423005,0.013124808611524371,0.02659285689019452,1.0277914920859001,99.9809785937292,betabinom,estimated,435.02164483070374,10,28
rho,1.49398408865061e-6,5.5444256748323915e-8,5.888778114099717e-6,1.0234431364220336,142.37622956920518,betabinom,estimated,435.02164483070374,10,28
sigma,0.01902429806685013,0.013585713739279132,0.026470368415577483,1.0210008535130872,170.63766175005804,weighted,estimated,193.03465795516968,10,28
c,0.9198523745036129,0.6177500995179456,1.36134885187152,1.0257248981222562,141.89153796837903,weighted,estimated,193.03465795516968,10,28
