"start_round","end_round","iter","success","maxrhat","miness","time_taken","num_obs","num_days","iter_sampling","iter_warmup"
1,13,1,FALSE,1.08347020041339,55.5873483241615,137.076,266,438,300,200
1,13,2,TRUE,1.02484265117095,103.819726037347,105.018,266,438,300,200
1,13,3,FALSE,1.73089629279066,4.72741024927598,131.646,266,438,300,200
1,13,4,FALSE,1.03357387467046,92.2085071432887,127.853,266,438,300,200
1,13,5,TRUE,1.03662132059054,130.627968170474,116.458,266,438,300,200
1,13,6,TRUE,1.01813929139556,179.963915094322,148.554,266,438,300,200
1,13,7,FALSE,1.8455795394908,4.46869557564155,196.176,266,438,300,200
1,13,8,TRUE,1.03809182155457,111.132946734577,131.27,266,438,300,200
1,13,9,TRUE,1.02381060611549,200.158895523894,130.645,266,438,300,200
1,13,10,TRUE,1.02692304369675,152.551744271903,796.165,266,438,300,200
1,13,11,TRUE,1.03452366822075,132.440616961191,194.877,266,438,300,200
1,13,12,FALSE,1.74631168094439,4.70558689937682,115.875,266,438,300,200
1,13,13,FALSE,1.68958292286761,4.82519783117527,147.534,266,438,300,200
1,13,14,FALSE,1.03289244885732,98.9341213634539,137.467,266,438,300,200
1,13,15,TRUE,1.04569509139777,152.806461074855,127.088,266,438,300,200
1,13,16,TRUE,1.03990476731451,119.607670211674,126.746,266,438,300,200
1,13,17,FALSE,2.8862789537686,3.51439417646127,89.9070000000002,266,438,300,200
1,13,18,TRUE,1.02465941557169,147.885260627395,154.918,266,438,300,200
