"start_round","end_round","iter","success","maxrhat","miness","time_taken","num_obs","num_days","iter_sampling","iter_warmup","max_treedepth"
1,11,1,TRUE,1.02171102463647,238.300088006624,338.234999999986,228,368,300,200,15
1,11,2,TRUE,1.02078403373585,248.93485557395,334.22000000003,228,368,300,200,15
1,11,3,TRUE,1.0176350922987,279.116672967042,344.60500000004,228,368,300,200,15
1,11,4,TRUE,1.01794399357695,207.228530424092,455.82799999998,228,368,300,200,15
1,11,5,TRUE,1.01301821894403,258.971083005302,305.989000000001,228,368,300,200,15
1,11,6,TRUE,1.01878564979586,321.24162252555,347.393999999971,228,368,300,200,15
1,11,7,TRUE,1.02693182839307,219.34507918615,525.638999999966,228,368,300,200,15
1,11,8,TRUE,1.02396167155966,272.987360803037,333.120999999985,228,368,300,200,15
1,11,9,TRUE,1.01454463800113,344.429395885797,531.138999999966,228,368,300,200,15
1,11,10,TRUE,1.01759560918665,318.078243339155,351.254000000015,228,368,300,200,15
